date,race,group,percent
19960101,White,ut,0.652
19970101,White,ut,0.657
19980101,White,ut,0.650
19990101,White,ut,0.646
20000101,White,ut,0.638
20010101,White,ut,0.627
20020101,White,ut,0.617
20030101,White,ut,0.606
20040101,White,ut,0.597
20050101,White,ut,0.585
20060101,White,ut,0.573
20070101,White,ut,0.556
20080101,White,ut,0.547
20090101,White,ut,0.535
20100101,White,ut,0.517
20110101,White,ut,0.504
20120101,White,ut,0.491
20130101,White,ut,0.477
20140101,White,ut,0.462
20150101,White,ut,0.444
19960101,White,tx,0.528
19970101,White,tx,0.529
19980101,White,tx,0.530
19990101,White,tx,0.530
20000101,White,tx,0.452
20010101,White,tx,0.453
20020101,White,tx,0.451
20030101,White,tx,0.448
20040101,White,tx,0.442
20050101,White,tx,0.434
20060101,White,tx,0.423
20070101,White,tx,0.413
20080101,White,tx,0.402
20090101,White,tx,0.390
20100101,White,tx,0.370
20110101,White,tx,0.362
20120101,White,tx,0.367
20130101,White,tx,0.346
20140101,White,tx,0.338
20150101,White,tx,0.330
19960101,Black,ut,0.041
19970101,Black,ut,0.037
19980101,Black,ut,0.035
19990101,Black,ut,0.034
20000101,Black,ut,0.034
20010101,Black,ut,0.035
20020101,Black,ut,0.035
20030101,Black,ut,0.036
20040101,Black,ut,0.038
20050101,Black,ut,0.040
20060101,Black,ut,0.042
20070101,Black,ut,0.046
20080101,Black,ut,0.048
20090101,Black,ut,0.049
20100101,Black,ut,0.049
20110101,Black,ut,0.049
20120101,Black,ut,0.049
20130101,Black,ut,0.049
20140101,Black,ut,0.047
20150101,Black,ut,0.048
19960101,Black,tx,0.131
19970101,Black,tx,0.132
19980101,Black,tx,0.131
19990101,Black,tx,0.129
20000101,Black,tx,0.127
20010101,Black,tx,0.127
20020101,Black,tx,0.128
20030101,Black,tx,0.128
20040101,Black,tx,0.129
20050101,Black,tx,0.130
20060101,Black,tx,0.136
20070101,Black,tx,0.137
20080101,Black,tx,0.137
20090101,Black,tx,0.137
20100101,Black,tx,0.132
20110101,Black,tx,0.131
20120101,Black,tx,0.129
20130101,Black,tx,0.127
20140101,Black,tx,0.125
20150101,Black,tx,0.123
19960101,Hispanic,ut,0.147
19970101,Hispanic,ut,0.142
19980101,Hispanic,ut,0.139
19990101,Hispanic,ut,0.137
20000101,Hispanic,ut,0.135
20010101,Hispanic,ut,0.136
20020101,Hispanic,ut,0.138
20030101,Hispanic,ut,0.143
20040101,Hispanic,ut,0.151
20050101,Hispanic,ut,0.161
20060101,Hispanic,ut,0.171
20070101,Hispanic,ut,0.178
20080101,Hispanic,ut,0.181
20090101,Hispanic,ut,0.185
20100101,Hispanic,ut,0.194
20110101,Hispanic,ut,0.200
20120101,Hispanic,ut,0.209
20130101,Hispanic,ut,0.217
20140101,Hispanic,ut,0.218
20150101,Hispanic,ut,0.221
19960101,Hispanic,tx,0.315
19970101,Hispanic,tx,0.314
19980101,Hispanic,tx,0.314
19990101,Hispanic,tx,0.315
20000101,Hispanic,tx,0.389
20010101,Hispanic,tx,0.388
20020101,Hispanic,tx,0.389
20030101,Hispanic,tx,0.391
20040101,Hispanic,tx,0.395
20050101,Hispanic,tx,0.401
20060101,Hispanic,tx,0.406
20070101,Hispanic,tx,0.413
20080101,Hispanic,tx,0.423
20090101,Hispanic,tx,0.435
20100101,Hispanic,tx,0.445
20110101,Hispanic,tx,0.453
20120101,Hispanic,tx,0.447
20130101,Hispanic,tx,0.467
20140101,Hispanic,tx,0.476
20150101,Hispanic,tx,0.483
