HSCode,Name,Metro_Area,City,Admitted2015,Enrolled2015,enrolled2015PctSeniors,campus_url,twelfthcount,allstudentscount,BlackHispMulti,WhiteOther,Color,african_american_percent,hispanic_percent,atRiskPct,ecoDisPct,collegeReadyBothPct
2440300,A N McCallum High School,Austin-Round Rock,Austin,29,18,0.051,/districts/austin-isd/mccallum-high-school/,352,1640,0.52,0.48,Minority,12.9,34.8,0.409,0.318,0.67
2440294,Anderson (L C) High School,Austin-Round Rock,Austin,62,40,0.086,/districts/austin-isd/anderson-high-school/,466,2211,0.41,0.59,White,5.6,32,0.319,0.268,0.79
2440460,Bastrop High School,Austin-Round Rock,Bastrop,7,6,0.026,/districts/bastrop-isd/bastrop-high-school/,234,1252,0.54,0.46,Minority,9.8,41.1,0.509,0.506,0.59
2441168,Cedar Creek High School,Austin-Round Rock,Cedar Creek,9,5,0.02,/districts/bastrop-isd/cedar-creek-high-school/,256,1424,0.72,0.28,Minority,4.1,65.6,0.716,0.64,0.44
2441174,Cedar Park High School,Austin-Round Rock,Cedar Park,37,25,0.056,/districts/leander-isd/cedar-park-high-school/,444,1866,0.25,0.75,White,3.2,18.4,0.354,0.105,0.75
2446027,Cedar Ridge High School,Austin-Round Rock,Round Rock,38,26,0.04,/districts/round-rock-isd/cedar-ridge-high-school/,646,2718,0.53,0.47,Minority,14.6,33.9,0.369,0.271,0.6
2440298,David Crockett High School,Austin-Round Rock,Austin,14,12,0.041,/districts/austin-isd/crockett-high-school/,292,1491,0.83,0.17,Minority,7.6,73.6,0.564,0.664,0.45
2441927,Del Valle High School Go Cente,Austin-Round Rock,Del Valle,21,13,0.031,/districts/del-valle-isd/del-valle-high-school/,418,2850,0.94,0.07,Minority,11.8,80.8,0.568,0.83,0.45
2442065,Dripping Springs High School,Austin-Round Rock,Dripping Springs,23,10,0.03,/districts/dripping-springs-isd/dripping-springs-high-school/,333,1586,0.22,0.78,White,0.4,17.5,0.249,0.092,0.77
2442776,East View High School,Austin-Round Rock,Georgetown,10,6,0.018,/districts/georgetown-isd/georgetown-9th-grade-center/,333,1418,0.55,0.45,Minority,4.4,48.7,0.495,0.458,0.65
2440365,Eastside Memorial High School Johnston,Austin-Round Rock,Austin,5,4,0.037,/districts/austin-isd/eastside-memorial-green-tech-high-school/,109,620,0.96,0.04,Minority,17.1,77.9,0.8,0.885,0.31
2442185,Elgin High School,Austin-Round Rock,Elgin,6,5,0.017,/districts/elgin-isd/elgin-high-school/,295,1292,0.67,0.33,Minority,14.1,51.3,0.597,0.642,0.5
2442770,Georgetown High School,Austin-Round Rock,Georgetown,23,16,0.039,/districts/georgetown-isd/georgetown-high-school/,415,1821,0.31,0.69,White,3.3,25.9,0.373,0.233,0.67
2440101,Harmony Science Academy- North Austin,Austin-Round Rock,Pflugerville,9,8,0.08,/districts/harmony-science-academy-austin/harmony-science-academy-north-austin/,100,657,0.67,0.33,Minority,10.2,54.5,0.412,0.537,0.73
2445499,Hendrickson High School,Austin-Round Rock,Pflugerville,31,21,0.034,/districts/pflugerville-isd/hendrickson-high-school/,615,2768,0.61,0.39,Minority,17.7,40,0.447,0.365,0.53
2443510,Hutto High School,Austin-Round Rock,Hutto,15,5,0.014,/districts/hutto-isd/hutto-high-school/,366,1664,0.6,0.4,Minority,13.8,42.1,0.496,0.404,0.47
2443925,Jack C Hays High School,Austin-Round Rock,Buda,22,9,0.019,/districts/hays-cisd/jack-c-hays-high-school/,472,2406,0.58,0.42,Minority,2.1,54.7,0.412,0.352,0.62
2440331,James Bowie High School,Austin-Round Rock,Austin,63,43,0.065,/districts/austin-isd/bowie-high-school/,661,2864,0.44,0.56,White,3.8,36.3,0.253,0.142,0.78
2440305,John B Connally High School,Austin-Round Rock,Austin,32,25,0.051,/districts/pflugerville-isd/john-b-connally-high-school/,492,1925,0.78,0.22,Minority,23,52.7,0.628,0.654,0.38
2440301,John H Reagan High School,Austin-Round Rock,Austin,12,4,0.019,/districts/austin-isd/reagan-high-school/,212,1227,0.95,0.05,Minority,19.4,74.9,0.715,0.825,0.2
2443948,Lago Vista High School,Austin-Round Rock,Lago Vista,5,5,0.048,/districts/lago-vista-isd/lago-vista-high-school/,105,442,0.25,0.75,White,1.6,21,0.299,0.238,0.82
2440311,Lake Travis High School,Austin-Round Rock,Austin,48,31,0.056,/districts/lake-travis-isd/lake-travis-high-school/,554,2554,0.24,0.76,White,1.4,19,0.25,0.099,0.85
2440302,Lanier High School,Austin-Round Rock,Austin,14,10,0.034,/districts/austin-isd/lanier-high-school/,297,1614,0.93,0.07,Minority,8.8,83.7,0.753,0.858,0.4
2444095,Leander High School,Austin-Round Rock,Leander,26,20,0.046,/districts/leander-isd/leander-high-school/,438,2084,0.41,0.59,White,5,33.1,0.516,0.321,0.59
2443923,Lehman High School,Austin-Round Rock,Kyle,25,16,0.033,/districts/hays-cisd/lehman-high-school/,492,2302,0.81,0.19,Minority,4.6,74.8,0.499,0.574,0.43
2440069,Liberal Arts & Science Acad High School,Austin-Round Rock,Austin,73,37,0.16,/districts/austin-isd/liberal-arts-and-science-academy-high-school/,231,1002,0.27,0.73,White,1.6,21.4,0.041,0.119,0.99
2444160,Liberty Hill High School,Austin-Round Rock,Liberty Hill,14,9,0.037,/districts/liberty-hill-isd/liberty-hill-high-school/,241,1012,0.2,0.81,White,1.3,16.3,0.349,0.18,0.67
2444235,Lockhart High School,Austin-Round Rock,Lockhart,6,2,0.007,/districts/lockhart-isd/lockhart-high-school/,300,1068,0.71,0.3,Minority,5.7,63.7,0.362,0.58,0.42
2440306,Lyndon B Johnson High School,Austin-Round Rock,Austin,7,5,0.031,/districts/austin-isd/lbj-high-school/,161,840,0.97,0.03,Minority,38,57.7,0.667,0.84,0.33
2444455,Manor High School,Austin-Round Rock,Manor,19,9,0.026,/districts/manor-isd/manor-high-school/,345,1620,0.93,0.07,Minority,31.5,60.2,0.477,0.733,0.3
2440303,McNeil High School,Austin-Round Rock,Austin,53,39,0.071,/districts/round-rock-isd/mcneil-high-school/,552,2545,0.38,0.62,White,10.1,23.6,0.333,0.213,0.75
2445500,Pflugerville High School,Austin-Round Rock,Pflugerville,36,26,0.044,/districts/pflugerville-isd/pflugerville-high-school/,587,2255,0.68,0.32,Minority,23.3,41.3,0.553,0.437,0.49
2446025,Round Rock High School,Austin-Round Rock,Round Rock,54,48,0.076,/districts/round-rock-isd/round-rock-high-school/,634,2970,0.36,0.64,White,5.1,27.8,0.256,0.143,0.74
2444097,Rouse High School,Austin-Round Rock,Leander,20,10,0.02,/districts/leander-isd/rouse-high-school/,500,2329,0.39,0.61,White,6.4,29.3,0.485,0.246,0.63
2446325,San Marcos High School,Austin-Round Rock,San Marcos,18,6,0.013,/districts/san-marcos-cisd/san-marcos-high-school/,456,2151,0.78,0.22,Minority,5.3,71.8,0.467,0.621,0.56
2446600,Smithville High School,Austin-Round Rock,Smithville,3,1,0.009,/districts/smithville-isd/smithville-high-school/,107,512,0.35,0.65,White,8,24.6,0.469,0.441,0.63
2440320,Stephen F Austin High School,Austin-Round Rock,Austin,41,26,0.054,/districts/austin-isd/austin-high-school/,484,2076,0.51,0.49,Minority,5.3,42.9,0.379,0.287,0.71
2446037,Stony Point High School,Austin-Round Rock,Round Rock,28,20,0.041,/districts/round-rock-isd/stony-point-high-school/,492,2461,0.65,0.35,Minority,16.6,44.9,0.43,0.4,0.61
2446902,Taylor High School,Austin-Round Rock,Taylor,10,5,0.025,/districts/taylor-isd/taylor-high-school/,202,957,0.7,0.3,Minority,10.3,58.3,0.417,0.602,0.47
2440363,Vandegrift High School,Austin-Round Rock,Austin,55,36,0.084,/districts/leander-isd/vandegrift-high-school/,427,2060,0.22,0.79,White,3.4,15,0.216,0.071,0.81
2441176,Vista Ridge High School,Austin-Round Rock,Cedar Park,40,30,0.067,/districts/leander-isd/vista-ridge-high-school/,446,2111,0.31,0.69,White,5.4,22.1,0.379,0.176,0.7
2440349,W Charles Akins High School,Austin-Round Rock,Austin,26,18,0.032,/districts/austin-isd/akins-high-school/,554,2661,0.87,0.13,Minority,7.3,77.5,0.582,0.693,0.47
2440324,Westlake High School,Austin-Round Rock,Austin,118,74,0.123,/districts/eanes-isd/westlake-high-school/,600,2539,0.2,0.8,White,1.2,14.4,0.173,0.028,0.92
2440326,Westwood High School,Austin-Round Rock,Austin,124,86,0.137,/districts/round-rock-isd/westwood-high-school/,627,2731,0.24,0.76,White,3.3,16.3,0.23,0.12,0.88
