High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Liberal Arts & Science Acad Hs,Austin-Round Rock,Austin,0.16017,0.268,0.733,0.041,0.119,0.99,1982,29.5,73,37,White
Westwood High School,Austin-Round Rock,Austin,0.13716,0.239,0.76,0.23,0.12,0.88,1821,27,124,86,White
Westlake High School,Austin-Round Rock,Austin,0.12333,0.201,0.8,0.173,0.028,0.92,1799,27.3,118,74,White
Anderson (L C) High School,Austin-Round Rock,Austin,0.08584,0.408,0.592,0.319,0.268,0.79,1685,24.9,62,40,White
Vandegrift High School,Austin-Round Rock,Austin,0.08431,0.216,0.785,0.216,0.071,0.81,1693,25.3,55,36,White
Harmony Science Academy- North Austin,Austin-Round Rock,Pflugerville,0.08000,0.673,0.328,0.412,0.537,0.73,1546,24.9,9,8,Minority
Round Rock High School,Austin-Round Rock,Round Rock,0.07571,0.363,0.637,0.256,0.143,0.74,1605,23.6,54,48,White
McNeil High School,Austin-Round Rock,Austin,0.07065,0.38,0.621,0.333,0.213,0.75,1639,24.7,53,39,White
Vista Ridge High School,Austin-Round Rock,Cedar Park,0.06726,0.313,0.687,0.379,0.176,0.7,1589,23.5,40,30,White
James Bowie High School,Austin-Round Rock,Austin,0.06505,0.444,0.556,0.253,0.142,0.78,1598,23.7,63,43,White
Cedar Park High School,Austin-Round Rock,Cedar Park,0.05631,0.249,0.752,0.354,0.105,0.75,1645,24.5,37,25,White
Lake Travis High School,Austin-Round Rock,Austin,0.05596,0.244,0.757,0.25,0.099,0.85,1670,25.1,48,31,White
Stephen F Austin High School,Austin-Round Rock,Austin,0.05372,0.506,0.494,0.379,0.287,0.71,1578,23.2,41,26,Minority
A N McCallum High School,Austin-Round Rock,Austin,0.05114,0.517,0.484,0.409,0.318,0.67,1622,22.1,29,18,Minority
John B Connally High School,Austin-Round Rock,Austin,0.05081,0.781,0.219,0.628,0.654,0.38,1325,19,32,25,Minority
William B Travis High School,Austin-Round Rock,Austin,0.04982,0.952,0.047,0.763,0.861,0.43,1241,18.4,18,14,Minority
Lago Vista High School,Austin-Round Rock,Lago Vista,0.04762,0.249,0.751,0.299,0.238,0.82,1482,23,5,5,White
Leander High School,Austin-Round Rock,Leander,0.04566,0.413,0.587,0.516,0.321,0.59,1491,22,26,20,White
