High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Highland Park High School,Dallas-Fort Worth-Arlington,Dallas,0.12271,0.064,0.936,0.093,0,0.94,1792,27.2,110,67,White
Coppell High School,Dallas-Fort Worth-Arlington,Coppell,0.09524,0.208,0.793,0.197,0.097,0.85,1721,25.7,124,68,White
Plano West Senior High School,Dallas-Fort Worth-Arlington,Plano,0.08748,0.261,0.738,0.115,0.135,0.77,1719,26,222,132,White
North Hills Preparatory,Dallas-Fort Worth-Arlington,Irving,0.07080,0.311,0.689,0.139,0.154,0.83,1713,25.8,16,8,White
Booker T. Washington Hs/Perf Vis Arts,Dallas-Fort Worth-Arlington,Dallas,0.06422,0.482,0.518,0.105,0.248,0.79,1619,23,31,14,White
J J Pearce High School,Dallas-Fort Worth-Arlington,Richardson,0.05988,0.486,0.514,0.344,0.307,0.72,1629,22.6,45,30,White
Carroll Senior High School,Dallas-Fort Worth-Arlington,Southlake,0.05856,0.143,0.856,0.094,0.011,0.9,1740,26.6,83,39,White
Plano East Senior High School,Dallas-Fort Worth-Arlington,Plano,0.05495,0.423,0.577,0.123,0.296,0.71,1644,25.3,108,66,White
Colleyville Heritage Hs,Dallas-Fort Worth-Arlington,Colleyville,0.05415,0.291,0.709,0.311,0.126,0.84,1633,24.5,52,30,White
Flower Mound High School,Dallas-Fort Worth-Arlington,Flower Mound,0.05374,0.148,0.852,0.111,0.033,0.83,1706,25.7,68,46,White
Plano Senior High School,Dallas-Fort Worth-Arlington,Plano,0.05235,0.327,0.672,0.092,0.223,0.78,1718,26.1,119,69,White
Frisco High School,Dallas-Fort Worth-Arlington,Frisco,0.05122,0.331,0.669,0.214,0.16,0.76,1617,24.8,39,23,White
Allen High School,Dallas-Fort Worth-Arlington,Allen,0.04724,0.294,0.706,0.236,0.137,0.74,1605,24.1,99,66,White
Liberty High School,Dallas-Fort Worth-Arlington,Frisco,0.04503,0.234,0.766,0.12,0.082,0.76,1665,25.2,50,24,White
Centennial High School,Dallas-Fort Worth-Arlington,Frisco,0.04412,0.271,0.73,0.175,0.1,0.83,1631,24.4,37,24,White
Woodrow Wilson High School,Dallas-Fort Worth-Arlington,Dallas,0.04348,0.763,0.238,0.56,0.601,0.51,1384,19.1,21,14,Minority
Lake Highlands High School,Dallas-Fort Worth-Arlington,Dallas,0.04118,0.598,0.403,0.491,0.488,0.6,1513,19.3,35,21,Minority
Garza Early College High School,Dallas-Fort Worth-Arlington,Dallas,0.03960,0.979,0.021,0.208,0.84,0.86,1422,20.1,7,4,Minority
Ranchview High School,Dallas-Fort Worth-Arlington,Irving,0.03955,0.634,0.367,0.336,0.467,0.56,1469,20.3,9,7,Minority
Lovejoy High School,Dallas-Fort Worth-Arlington,Lucas,0.03861,0.134,0.865,0.084,0.022,0.84,1678,25.6,15,10,White
Grapevine Senior High School,Dallas-Fort Worth-Arlington,Grapevine,0.03740,0.278,0.72,0.317,0.166,0.8,1615,24.5,41,19,White
Richland Collegiate Hs,Dallas-Fort Worth-Arlington,Dallas,0.03670,0.445,0.554,0.081,0.276,0.88,1612,23.9,11,8,White
Trinity High School,Dallas-Fort Worth-Arlington,Euless,0.03557,0.501,0.499,0.402,0.458,0.62,1489,21.4,36,27,Minority
Richardson High School,Dallas-Fort Worth-Arlington,Richardson,0.03467,0.645,0.355,0.425,0.49,0.68,1517,20.2,37,19,Minority
Byron Nelson High School,Dallas-Fort Worth-Arlington,Trophy Club,0.03383,0.291,0.709,0.221,0.132,0.62,1535,23.2,26,18,White
Hillcrest High School,Dallas-Fort Worth-Arlington,Dallas,0.03346,0.864,0.135,0.679,0.774,0.45,1309,17.5,17,9,Minority
Edward S Marcus High School,Dallas-Fort Worth-Arlington,Flower Mound,0.03294,0.184,0.815,0.141,0.071,0.79,1655,24.5,46,25,White
Arlington Heights High School,Dallas-Fort Worth-Arlington,Fort Worth,0.03279,0.708,0.291,0.604,0.424,0.55,1325,22.3,13,10,Minority
McKinney Boyd High School,Dallas-Fort Worth-Arlington,McKinney,0.03193,0.304,0.696,0.191,0.16,0.75,1602,24.1,37,22,White
Lloyd V Berkner High School,Dallas-Fort Worth-Arlington,Richardson,0.02962,0.627,0.373,0.521,0.527,0.53,1500,18.7,25,17,Minority
