High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
William P Clements High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.10067,0.207,0.792,0.141,0.066,0.9,1769,26,110,60,White
Memorial Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.09228,0.22,0.781,0.164,0.1,0.8,1727,26.1,99,55,White
Stratford High School,Houston-The Woodlands-Sugar Land,Houston,0.09223,0.365,0.636,0.281,0.233,0.77,1637,25.1,63,38,White
Carnegie Vanguard High School,Houston-The Woodlands-Sugar Land,Houston,0.08633,0.414,0.585,0.113,0.253,0.98,1895,28.5,25,12,White
Seven Lakes High School,Houston-The Woodlands-Sugar Land,Katy,0.07157,0.312,0.688,0.173,0.059,0.81,1688,25.5,121,74,White
Dulles High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.06998,0.381,0.62,0.302,0.204,0.74,1638,24,63,38,White
Westchester Acad Intl Studies,Houston-The Woodlands-Sugar Land,Houston,0.06767,0.696,0.304,0.291,0.555,0.76,1527,23.4,13,9,Minority
Bellaire Senior High School,Houston-The Woodlands-Sugar Land,Bellaire,0.06581,0.644,0.356,0.553,0.477,0.68,1530,24.9,76,46,Minority
High School Perform & Vis Arts,Houston-The Woodlands-Sugar Land,Houston,0.06509,0.435,0.565,0.193,0.182,0.95,1728,25,24,11,White
Clear Lake High School,Houston-The Woodlands-Sugar Land,Houston,0.05901,0.314,0.686,0.336,0.171,0.82,1732,26.1,81,37,White
James E Taylor High School,Houston-The Woodlands-Sugar Land,Katy,0.05882,0.335,0.664,0.269,0.168,0.8,1639,24.4,69,40,White
Stephen F Austin High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.05759,0.35,0.651,0.305,0.22,0.79,1629,24.3,56,33,White
Woodlands College Park Hs The,Houston-The Woodlands-Sugar Land,The Woodlands,0.05742,0.289,0.711,0.201,0.133,0.75,1660,25.2,71,36,White
Cinco Ranch High School,Houston-The Woodlands-Sugar Land,Katy,0.05563,0.334,0.666,0.213,0.103,0.78,1657,25.6,81,43,White
Kerr High School,Houston-The Woodlands-Sugar Land,Houston,0.04945,0.326,0.673,0.167,0.603,0.86,1609,24.1,16,9,White
Clear Springs High School,Houston-The Woodlands-Sugar Land,League City,0.04798,0.395,0.606,0.337,0.147,0.67,1503,22.8,40,25,White
Debakey Hs For Health Professions,Houston-The Woodlands-Sugar Land,Houston,0.04762,0.454,0.546,0.136,0.417,0.97,1870,27.1,33,9,White
I H Kempner High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.0469,0.458,0.542,0.302,0.353,0.66,1496,22.4,42,28,White
Harmony School Of Advancement,Houston-The Woodlands-Sugar Land,Houston,0.04464,0.609,0.392,0.377,0.423,0.67,1564,25.3,14,5,Minority
Woodlands High School The,Houston-The Woodlands-Sugar Land,The Woodlands,0.04383,0.261,0.738,0.176,0.03,0.83,1663,24.8,97,43,White
Bellville High School,Houston-The Woodlands-Sugar Land,Bellville,0.04225,0.354,0.645,0.467,0.36,0.42,1457,21.8,6,6,White
Cypress Woods High School,Houston-The Woodlands-Sugar Land,Cypress,0.04113,0.389,0.611,0.21,0.167,0.71,1586,23.9,52,32,White
Klein High School,Houston-The Woodlands-Sugar Land,Klein,0.04082,0.422,0.578,0.371,0.279,0.66,1583,23.9,61,36,White
Dawson High School,Houston-The Woodlands-Sugar Land,Pearland,0.04,0.527,0.475,0.193,0.227,0.68,1569,22.9,40,19,Minority
Kingwood High School,Houston-The Woodlands-Sugar Land,Kingwood,0.03954,0.186,0.813,0.264,0.047,0.73,1644,25.2,43,24,White
Mirabeau B Lamar Sr High Sch,Houston-The Woodlands-Sugar Land,Houston,0.03939,0.694,0.306,0.491,0.477,0.64,1445,22.5,58,31,Minority
Stafford High School,Houston-The Woodlands-Sugar Land,Stafford,0.03879,0.888,0.113,0.543,0.572,0.43,1336,19.5,12,9,Minority
Harmony Science Academy,Houston-The Woodlands-Sugar Land,Houston,0.03846,0.713,0.288,0.469,0.755,0.73,1527,21.5,13,5,Minority
Cypress Ridge High School,Houston-The Woodlands-Sugar Land,Houston,0.03846,0.77,0.23,0.486,0.631,0.55,1405,20.2,35,26,Minority
Cy-Fair Senior High School,Houston-The Woodlands-Sugar Land,Cypress,0.03808,0.426,0.573,0.287,0.285,0.69,1578,23.4,59,31,White
Westside High School,Houston-The Woodlands-Sugar Land,Houston,0.03752,0.711,0.289,0.577,0.542,0.55,1377,22.2,37,20,Minority
Elkins High School,Houston-The Woodlands-Sugar Land,Missouri City,0.03734,0.575,0.425,0.322,0.241,0.64,1508,21.1,31,18,Minority
Klein Oak High School,Houston-The Woodlands-Sugar Land,Spring,0.03592,0.401,0.599,0.359,0.254,0.63,1555,23.1,49,31,White
Ball High School,Houston-The Woodlands-Sugar Land,Galveston,0.03555,0.688,0.313,0.397,0.615,0.49,1363,20.3,21,15,Minority
Cypress Ranch High School,Houston-The Woodlands-Sugar Land,Cypress,0.03403,0.361,0.639,0.182,0.115,0.73,1553,22.7,51,26,White
Jersey Village High School,Houston-The Woodlands-Sugar Land,Houston,0.03399,0.683,0.317,0.417,0.51,0.62,1499,21.6,39,26,Minority
Cypress Falls High School,Houston-The Woodlands-Sugar Land,Houston,0.03388,0.637,0.364,0.385,0.466,0.6,1485,21,46,27,Minority
George Ranch High School,Houston-The Woodlands-Sugar Land,Richmond,0.03326,0.497,0.502,0.319,0.21,0.71,1497,22.1,27,16,White
Ridge Point High School,Houston-The Woodlands-Sugar Land,Missouri City,0.0324,0.546,0.452,0.248,0.169,0.71,1524,22.3,27,15,Minority
Friendswood High School,Houston-The Woodlands-Sugar Land,Friendswood,0.03195,0.172,0.828,0.247,0.054,0.82,1642,25,41,17,White
Mayde Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.03169,0.717,0.282,0.523,0.581,0.56,1403,20.1,25,18,Minority
Manvel High School,Houston-The Woodlands-Sugar Land,Manvel,0.03166,0.703,0.298,0.343,0.392,0.55,1413,19.7,36,17,Minority
Sealy High School,Houston-The Woodlands-Sugar Land,Sealy,0.03012,0.561,0.438,0.411,0.521,0.54,1411,20.7,10,5,Minority
Langham Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.02865,0.618,0.381,0.344,0.435,0.61,1499,22.3,45,21,Minority
High School For Law Enforcement & Cri. Jus.,Houston-The Woodlands-Sugar Land,Houston,0.02804,0.954,0.045,0.646,0.836,0.69,1340,18.6,5,3,Minority
Needville High School,Houston-The Woodlands-Sugar Land,Needville,0.02747,0.432,0.567,0.348,0.296,0.68,1461,21.6,7,5,White
Clear Falls High School,Houston-The Woodlands-Sugar Land,League City,0.02722,0.308,0.692,0.354,0.152,0.76,1599,24.7,26,15,White
Westfield High School,Houston-The Woodlands-Sugar Land,Houston,0.02718,0.893,0.107,0.64,0.693,0.31,1099,17.9,30,19,Minority
Ross S Sterling High School,Houston-The Woodlands-Sugar Land,Baytown,0.02689,0.707,0.292,0.389,0.571,0.52,1422,19.8,16,11,Minority
L V Hightower High School,Houston-The Woodlands-Sugar Land,Missouri City,0.02682,0.86,0.139,0.425,0.477,0.59,1452,20.9,37,14,Minority
Cypress Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.02606,0.556,0.443,0.339,0.422,0.63,1522,22.6,39,19,Minority
Kingwood Park Hs,Houston-The Woodlands-Sugar Land,Kingwood,0.02513,0.308,0.692,0.383,0.175,0.6,1530,23.2,18,10,White
William B Travis High School,Houston-The Woodlands-Sugar Land,Richmond,0.02508,0.566,0.434,0.343,0.275,0.72,1488,21.8,28,15,Minority
Spring Woods Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.025,0.859,0.142,0.654,0.765,0.47,1335,19.8,24,11,Minority
Klein Collins High School,Houston-The Woodlands-Sugar Land,Spring,0.02484,0.478,0.522,0.412,0.292,0.59,1498,21.6,32,20,White
Robert E Lee High School,Houston-The Woodlands-Sugar Land,Houston,0.02482,0.888,0.112,0.827,0.609,0.33,1052,17.7,10,7,Minority
Foster High School,Houston-The Woodlands-Sugar Land,Richmond,0.02464,0.511,0.487,0.406,0.224,0.63,1503,22.5,21,12,Minority
Montgomery High School,Houston-The Woodlands-Sugar Land,Montgomery,0.02461,0.164,0.836,0.266,0.185,0.71,1526,23.2,18,11,White
Clear Brook High School,Houston-The Woodlands-Sugar Land,Friendswood,0.02448,0.449,0.552,0.421,0.252,0.67,1512,22.6,32,14,White
Alief Taylor High School,Houston-The Woodlands-Sugar Land,Houston,0.0228,0.814,0.188,0.662,0.726,0.39,1256,16.7,29,14,Minority
