High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Alamo Heights High School,San Antonio-New Braunfels,San Antonio,0.04843,0.418,0.581,0.183,0.141,0.77,1646,24.7,37,17,White
International School Americas,San Antonio-New Braunfels,San Antonio,0.07563,0.605,0.394,0.188,0.203,0.86,1633,24.4,13,9,Minority
Claudia Taylor Ladybird Johnso,San Antonio-New Braunfels,San Antonio,0.04149,0.485,0.515,0.292,0.129,0.72,1560,23.9,51,30,White
Tom C Clark High School,San Antonio-New Braunfels,San Antonio,0.04026,0.631,0.369,0.497,0.32,0.72,1557,23,45,25,Minority
Northside Health Careers Hs,San Antonio-New Braunfels,San Antonio,0.03756,0.602,0.397,0.257,0.29,0.95,1687,25.3,22,8,Minority
Ronald Reagan High School,San Antonio-New Braunfels,San Antonio,0.03666,0.486,0.515,0.263,0.099,0.78,1596,24.4,51,25,White
Winston Churchill High School,San Antonio-New Braunfels,San Antonio,0.03488,0.579,0.421,0.422,0.298,0.66,1533,22.7,38,24,Minority
Sandra Day O'Connor Hs,San Antonio-New Braunfels,Helotes,0.03155,0.623,0.377,0.482,0.236,0.72,1476,21.6,27,23,Minority
Seguin High School,San Antonio-New Braunfels,Seguin,0.02899,0.7,0.3,0.541,0.535,0.42,1380,20.1,11,10,Minority
Marion High School,San Antonio-New Braunfels,Marion,0.02885,0.349,0.651,0.405,0.321,0.51,1409,20.6,4,3,White
Navarro High School,San Antonio-New Braunfels,Seguin,0.02727,0.413,0.587,0.279,0.302,0.67,1443,20.9,4,3,White
Boerne Samuel V Champion Hs,San Antonio-New Braunfels,Boerne,0.02508,0.274,0.726,0.29,0.094,0.73,1616,24.7,18,8,White
Louis D Brandeis High School,San Antonio-New Braunfels,San Antonio,0.02355,0.639,0.36,0.477,0.249,0.69,1520,22.4,27,13,Minority
Theodore Roosevelt High School,San Antonio-New Braunfels,San Antonio,0.02306,0.804,0.196,0.634,0.626,0.46,1353,20.4,25,14,Minority
Floresville High School,San Antonio-New Braunfels,Floresville,0.0223,0.645,0.356,0.375,0.414,0.56,1378,19.2,9,6,Minority
Douglas Macarthur High School,San Antonio-New Braunfels,San Antonio,0.02185,0.675,0.325,0.512,0.46,0.62,1485,21.6,22,13,Minority
Medina Valley High School,San Antonio-New Braunfels,Castroville,0.02183,0.603,0.397,0.39,0.433,0.56,1452,20.6,9,5,Minority
Byron P Steele II High School,San Antonio-New Braunfels,Cibolo,0.02166,0.575,0.425,0.431,0.188,0.55,1454,21.8,22,12,Minority
Samuel Clemens High School,San Antonio-New Braunfels,Schertz,0.02137,0.528,0.473,0.438,0.228,0.62,1474,21.8,18,10,Minority
